time,x,u
0.8,0.54,0.687917
0.8,0.56,0.699872
0.8,0.58,0.715608
0.8,0.6,0.734169
0.8,0.62,0.754388
0.8,0.64,0.77493
0.8,0.66,0.79434
0.8,0.68,0.811102
0.8,0.7,0.823692
0.8,0.72,0.830636
0.8,0.74,0.830569
0.8,0.76,0.822284
0.8,0.78,0.804783
0.8,0.8,0.777314
0.8,0.82,0.739407
0.8,0.84,0.690893
0.8,0.86,0.631918
0.8,0.88,0.562943
0.8,0.9,0.484734
0.8,0.92,0.398343
0.8,0.94,0.305074
0.8,0.96,0.206449
0.8,0.98,0.104156
1,0.02,0.095534
1,0.04,0.189474
1,0.06,0.280277
1,0.08,0.366496
1,0.1,0.446824
1,0.12,0.520137
1,0.14,0.585523
1,0.16,0.64231
1,0.18,0.690084
1,0.2,0.728693
1,0.22,0.758253
1,0.24,0.779132
1,0.26,0.791933
1,0.28,0.797471
1,0.3,0.796735
1,0.32,0.790848
1,0.34,0.781026
1,0.36,0.76853
1,0.38,0.754615
1,0.4,0.740486
1,0.42,0.72725
1,0.44,0.715877
1,0.46,0.707159
1,0.48,0.701687
1,0.5,0.699822
1,0.52,0.701687
1,0.54,0.707159
1,0.56,0.715877
1,0.58,0.72725
1,0.6,0.740486
1,0.62,0.754615
1,0.64,0.76853
1,0.66,0.781026
1,0.68,0.790848
1,0.7,0.796735
1,0.72,0.797471
1,0.74,0.791933
1,0.76,0.779132
1,0.78,0.758253
1,0.8,0.728693
1,0.82,0.690084
1,0.84,0.64231
1,0.86,0.585523
1,0.88,0.520137
1,0.9,0.446824
1,0.92,0.366496
1,0.94,0.280277
1,0.96,0.189474
1,0.98,0.095534
1.2,0.02,0.0881496
1.2,0.04,0.174932
1.2,0.06,0.259023
1.2,0.08,0.339177
1.2,0.1,0.414271
1.2,0.12,0.48333
1.2,0.14,0.545561
1.2,0.16,0.600371
1.2,0.18,0.647386
1.2,0.2,0.68645
1.2,0.22,0.717633
1.2,0.24,0.741219
1.2,0.26,0.757689
1.2,0.28,0.767703
1.2,0.3,0.772068
1.2,0.32,0.771705
1.2,0.34,0.767615
1.2,0.36,0.760837
1.2,0.38,0.752408
1.2,0.4,0.743326
1.2,0.42,0.734506
1.2,0.44,0.726752
1.2,0.46,0.720721
1.2,0.48,0.716901
1.2,0.5,0.715595
1.2,0.52,0.716901
1.2,0.54,0.720721
1.2,0.56,0.726752
1.2,0.58,0.734506
1.2,0.6,0.743326
1.2,0.62,0.752408
1.2,0.64,0.760837
1.2,0.66,0.767615
1.2,0.68,0.771705
1.2,0.7,0.772068
1.2,0.72,0.767703
1.2,0.74,0.757689
1.2,0.76,0.741219
1.2,0.78,0.717633
1.2,0.8,0.68645
1.2,0.82,0.647386
1.2,0.84,0.600371
1.2,0.86,0.545561
1.2,0.88,0.48333
1.2,0.9,0.414271
1.2,0.92,0.339177
1.2,0.94,0.259023
1.2,0.96,0.174932
1.2,0.98,0.0881496
1.4,0.02,0.0818052
1.4,0.04,0.162434
1.4,0.06,0.240745
1.4,0.08,0.315665
1.4,0.1,0.38622
1.4,0.12,0.451567
1.4,0.14,0.511009
1.4,0.16,0.564023
1.4,0.18,0.610264
1.4,0.2,0.649578
1.4,0.22,0.681996
1.4,0.24,0.70773
1.4,0.26,0.727162
1.4,0.28,0.74082
1.4,0.3,0.74936
1.4,0.32,0.753535
1.4,0.34,0.754165
1.4,0.36,0.752105
1.4,0.38,0.748209
1.4,0.4,0.7433
